"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",ajv:6.10.2,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?ajv,"","","","",pkg:npm/ajv@6.10.2,"",GHSA-v88g-cgmw-v5xw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes","An issue was discovered in ajv.validate() in Ajv (aka Another JSON Schema Validator) 6.12.2. A carefully crafted JSON schema could be provided that allows execution of other code by prototype pollution. (While untrusted schemas are recommended against, the worst case of an untrusted schema should be a denial of service, not execution of code.)",NPM,"","","",MEDIUM,5.599999904632568,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",brace-expansion:1.1.8,/src/target/classes/static/vendors/jquery-mask/package-lock.json?brace-expansion,"","","","",pkg:npm/brace-expansion@1.1.8,"",GHSA-v6h2-p8h4-qcjw,CWE-400 Uncontrolled Resource Consumption,"A vulnerability was found in juliangruber brace-expansion up to 1.1.11/2.0.1/3.0.0/4.0.0. It has been rated as problematic. Affected by this issue is the function expand of the file index.js. The manipulation leads to inefficient regular expression complexity. The attack may be launched remotely. The complexity of an attack is rather high. The exploitation is known to be difficult. The exploit has been disclosed to the public and may be used. Upgrading to version 1.1.12, 2.0.2, 3.0.1 and 4.0.1 is able to address this issue. The name of the patch is `a5b98a4f30d7813266b221435e1eaaf25a1b0ac5`. It is recommended to upgrade the affected component.",NPM,"","","",LOW,3.0999999046325684,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",debug:3.2.6,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?debug,"","","","",pkg:npm/debug@3.2.6,"",GHSA-gxpj-cx7g-858c,CWE-400 Uncontrolled Resource Consumption,"Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.  This was later re-introduced in version v3.2.0, and then repatched in versions 3.2.7 and 4.3.1.  ## Recommendation  Version 2.x.x: Update to version 2.6.9 or later. Version 3.1.x: Update to version 3.1.0 or later. Version 3.2.x: Update to version 3.2.7 or later. Version 4.x.x: Update to version 4.3.1 or later.",NPM,"","","",LOW,3.700000047683716,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",debug:4.1.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?debug,"","","","",pkg:npm/debug@4.1.1,"",GHSA-gxpj-cx7g-858c,CWE-400 Uncontrolled Resource Consumption,"Affected versions of `debug` are vulnerable to regular expression denial of service when untrusted user input is passed into the `o` formatter.   As it takes 50,000 characters to block the event loop for 2 seconds, this issue is a low severity issue.  This was later re-introduced in version v3.2.0, and then repatched in versions 3.2.7 and 4.3.1.  ## Recommendation  Version 2.x.x: Update to version 2.6.9 or later. Version 3.1.x: Update to version 3.1.0 or later. Version 3.2.x: Update to version 3.2.7 or later. Version 4.x.x: Update to version 4.3.1 or later.",NPM,"","","",LOW,3.700000047683716,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",form-data:2.3.3,/src/target/classes/static/vendors/jquery-mask/package-lock.json?form-data,"","","","",pkg:npm/form-data@2.3.3,"",GHSA-fjxv-7rqg-78g4,CWE-330 Use of Insufficiently Random Values,"### Summary  form-data uses `Math.random()` to select a boundary value for multipart form-encoded data. This can lead to a security issue if an attacker: 1. can observe other values produced by Math.random in the target application, and 2. can control one field of a request made using form-data  Because the values of Math.random() are pseudo-random and predictable (see: https://blog.securityevaluators.com/hacking-the-javascript-lottery-80cc437e3b7f), an attacker who can observe a few sequential values can determine the state of the PRNG and predict future values, includes those used to generate form-data's boundary value. The allows the attacker to craft a value that contains a boundary value, allowing them to inject additional parameters into the request.  This is largely the same vulnerability as was [recently found in `undici`](https://hackerone.com/reports/2913312) by [`parrot409`](https://hackerone.com/parrot409?type=user) -- I'm not affiliated with that researcher but want to give credit where credit is due! My PoC is largely based on their work.  ### Details  The culprit is this line here: https://github.com/form-data/form-data/blob/426ba9ac440f95d1998dac9a5cd8d738043b048f/lib/form_data.js#L347  An attacker who is able to predict the output of Math.random() can predict this boundary value, and craft a payload that contains the boundary value, followed by another, fully attacker-controlled field. This is roughly equivalent to any sort of improper escaping vulnerability, with the caveat that the attacker must find a way to observe other Math.random() values generated by the application to solve for the state of the PRNG. However, Math.random() is used in all sorts of places that might be visible to an attacker (including by form-data itself, if the attacker can arrange for the vulnerable application to make a request to an attacker-controlled server using form-data, such as a user-controlled webhook -- the attacker could observe the boundary values from those requests to observe the Math.random() outputs). A common example would be a `x-request-id` header added by the server. These sorts of headers are often used for distributed tracing, to correlate errors across the frontend and backend. `Math.random()` is a fine place to get these sorts of IDs (in fact, [opentelemetry uses Math.random for this purpose](https://github.com/open-telemetry/opentelemetry-js/blob/2053f0d3a44631ade77ea04f656056a2c8a2ae76/packages/opentelemetry-sdk-trace-base/src/platform/node/RandomIdGenerator.ts#L22))  ### PoC  PoC here: https://github.com/benweissmann/CVE-2025-7783-poc  Instructions are in that repo. It's based on the PoC from https://hackerone.com/reports/2913312 but simplified somewhat; the vulnerable application has a more direct side-channel from which to observe Math.random() values (a separate endpoint that happens to include a randomly-generated request ID).   ### Impact  For an application to be vulnerable, it must: - Use `form-data` to send data including user-controlled data to some other system. The attacker must be able to do something malicious by adding extra parameters (that were not intended to be user-controlled) to this request. Depending on the target system's handling of repeated parameters, the attacker might be able to overwrite values in addition to appending values (some multipart form handlers deal with repeats by overwriting values instead of representing them as an array) - Reveal values of Math.random(). It's easiest if the attacker can observe multiple sequential values, but more complex math could recover the PRNG state to some degree of confidence with non-sequential values.   If an application is vulnerable, this allows an attacker to make arbitrary requests to internal systems.",NPM,"","","","","","","","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",getobject:0.1.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?getobject,"","","","",pkg:npm/getobject@0.1.0,"",GHSA-957j-59c2-j692,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Prototype pollution vulnerability in 'getobject' version 0.1.0 allows an attacker to cause a denial of service and may lead to remote code execution.,NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",grunt:1.0.4,/src/target/classes/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-m5pj-vjjf-4m3h,CWE-1188 Insecure Default Initialization of Resource,The package grunt before 1.3.0 are vulnerable to Arbitrary Code Execution due to the default usage of the function load() instead of its secure replacement safeLoad() of the package js-yaml inside grunt.file.readYAML.,NPM,"","","",HIGH,7.099999904632568,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",grunt:1.0.4,/src/target/classes/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-rm36-94g8-835r,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,file.copy operations in GruntJS are vulnerable to a TOCTOU race condition leading to arbitrary file write in GitHub repository gruntjs/grunt prior to 1.5.3. This vulnerability is capable of arbitrary file writes which can lead to local privilege escalation to the GruntJS user if a lower-privileged user has write access to both source and destination directories as the lower-privileged user can create a symlink to the GruntJS user's .bashrc file or replace /etc/shadow file if the GruntJS user is root.,NPM,"","","",HIGH,7.0,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",grunt:1.0.4,/src/target/classes/static/vendors/jquery-mask/package-lock.json?grunt,"","","","",pkg:npm/grunt@1.0.4,"",GHSA-j383-35pm-c5h4,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Grunt prior to version 1.5.2 is vulnerable to path traversal.,NPM,"","","",MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",hosted-git-info:2.5.0,/src/target/classes/static/vendors/jquery-mask/package-lock.json?hosted-git-info,"","","","",pkg:npm/hosted-git-info@2.5.0,"",GHSA-43f8-2h32-f4cj,CWE-400 Uncontrolled Resource Consumption,The npm package `hosted-git-info` before 3.0.8 are vulnerable to Regular Expression Denial of Service (ReDoS) via regular expression shortcutMatch in the fromUrl function in index.js. The affected regular expression exhibits polynomial worst-case time complexity,NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",https-proxy-agent:2.2.2,/src/target/classes/static/vendors/jquery-mask/package-lock.json?https-proxy-agent,"","","","",pkg:npm/https-proxy-agent@2.2.2,"",GHSA-pc5p-h8pf-mvwp,CWE-300 Channel Accessible by Non-Endpoint,"Versions of `https-proxy-agent` prior to 2.2.3 are vulnerable to Machine-In-The-Middle. The package fails to enforce TLS on the socket if the proxy server responds the to the request with a HTTP status different than 200. This allows an attacker with access to the proxy server to intercept unencrypted communications, which may include sensitive information such as credentials.   ## Recommendation  Upgrade to version 3.0.0 or 2.2.3.",NPM,"","","",MEDIUM,6.099999904632568,CVSS:3.1/AV:A/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",js-yaml:3.13.1,/src/target/classes/static/vendors/jquery-mask/package-lock.json?js-yaml,"","","","",pkg:npm/js-yaml@3.13.1,"",GHSA-mh29-5h37-fv8m,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"### Impact  In js-yaml 4.1.0, 4.0.0, and 3.14.1 and below, it's possible for an attacker to modify the prototype of the result of a parsed yaml document via prototype pollution (`__proto__`). All users who parse untrusted yaml documents may be impacted.  ### Patches  Problem is patched in js-yaml 4.1.1 and 3.14.2.  ### Workarounds  You can protect against this kind of attack on the server by using `node --disable-proto=delete` or `deno` (in Deno, pollution protection is on by default).  ### References  https://cheatsheetseries.owasp.org/cheatsheets/Prototype_Pollution_Prevention_Cheat_Sheet.html",NPM,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",json-schema:0.2.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?json-schema,"","","","",pkg:npm/json-schema@0.2.3,"",GHSA-896r-f27r-55mw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-915 Improperly Controlled Modification of Dynamically-Determined Object Attributes",json-schema before version 0.4.0 is vulnerable to Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution').,NPM,"","","",CRITICAL,9.800000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-p6mc-m468-83gw,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-770 Allocation of Resources Without Limits or Throttling","Versions of lodash prior to 4.17.19 are vulnerable to Prototype Pollution. The functions `pick`, `set`, `setWith`, `update`, `updateWith`, and `zipObjectDeep` allow a malicious user to modify the prototype of Object if the property identifiers are user-supplied. Being affected by this issue requires manipulating objects based on user-provided property values or arrays.  This vulnerability causes the addition or modification of an existing property that will exist on all objects and may lead to Denial of Service or Code Execution under specific circumstances.",NPM,"","","",HIGH,7.400000095367432,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: C:\Users\kgard\Desktop\tbo\lab2\task2\Java\spring-thymeleaf-crud-example,"Fri, 21 Nov 2025 21:26:17 GMT",lodash:4.17.15,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?lodash,"","","","",pkg:npm/lodash@4.17.15,"",GHSA-35jh-r3h4-6jhm,"CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'), CWE-94 Improper Control of Generation of Code ('Code Injection')",`lodash` versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,NPM,"","","",HIGH,7.199999809265137,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
